Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	gunaʔ	nan	g u n a ʔ -	"('sky', 'alor1249-sar-n', 'gunaʔ')"	nan		
1	sun	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	war(get)	nan	w a r - - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	wur	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	nan		
3	star	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	jif	nan	j i f	"('star', 'abui1241-fuime', 'fɪri')"	nan		
4	night	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	iqaʔan	nan	#NAME?	"('night', 'abui1241-petle', ""ak.'un"")"	nan		
5	day	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	war	nan	w a r -	"('day', 'adan1251-lawah', 'wɛd_saha')"	nan		
7	morning	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	bes iwaŋ	nan	b e s _ - i w a ŋ -	"('morning', 'alor1249-sar-a', 'bes_iwaŋ')"	nan		
8	yesterday	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	məja:g	nan	m ə j aa g -	"('yesterday', 'alor1249-sar-n', 'məya:g')"	nan		
9	day before yesterday	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	gatig	nan	- g - a t - i g -	"('day before yesterday', 'alor1249-sar-a', 'gataraq')"	nan		
10	tomorrow	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	bat	nan	b a t - -	"('tomorrow', 'alor1249-sar-a', 'bat')"	nan		
11	day after tomorrow	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	tijaraq	nan	- - t i j a r - a q - - -	"('day after tomorrow', 'alor1249-sar-a', 'tiraq')"	nan		
13	cloud	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	məna:f	nan	m ə n aa f - -	"('cloud', 'alor1249-sar-a', 'mana:f')"	nan		
14	wind	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	qajaw	nan	q a j a w - -	"('wind', 'alor1249-sar-n', 'qayaw')"	nan		
14	wind	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	jeribit	nan	j e r i b i t	"('wind', 'alor1249-sar-a', 'jerak')"	nan		
15	rain	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	hal	nan	h a l -	"('rain', 'alor1249-sar-a', 'ál')"	nan		
17	rainbow	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	ijaf	nan	i j a f	"('rainbow', 'alor1249-sar-n', 'iyaf')"	nan		
18	thunder	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	gregaj	bunyinya	g - r e g a j -	"('thunder', 'alor1249-sar-a', 'gragar')"	nan		
19	lightning	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	"1Pantar, 1West"	itəmijah	"kilatan, cahaya"	i - - t ə m i j a h	"('lightning', 'alor1249-sar-a', 'itimiyah')"	nan		
