Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
1	sun	p-east2519	proto-TIM	Timor-Alor-Pantar		*waTu	nan	w a T u - - -	('sun', 'abui1241-fuime', 'wari')	datasets/greenbook/proto-TIM.tsv		
2	moon	p-east2519	proto-TIM	Timor-Alor-Pantar		*huru	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/greenbook/proto-TIM.tsv		
3	star	p-east2519	proto-TIM	Timor-Alor-Pantar		*ipi(-bere)	nan	i p i	('star', 'abui1241-fuime', 'fɪri')	datasets/greenbook/proto-TIM.tsv		
15	rain	p-east2519	proto-TIM	Timor-Alor-Pantar		*ine(r, R)	nan	- i n e - -	('rain', 'abui1241-fuime', 'anui')	datasets/greenbook/proto-TIM.tsv		
26	mountain	p-east2519	proto-TIM	Timor-Alor-Pantar		*bugu	nan	b u g u	('mountain', 'abui1241-fuime', 'buku')	datasets/greenbook/proto-TIM.tsv		
32	stone	p-east2519	proto-TIM	Timor-Alor-Pantar		*war	nan	w a r -	('stone', 'abui1241-fuime', 'vi')	datasets/greenbook/proto-TIM.tsv		
35	water (fresh)	p-east2519	proto-TIM	Timor-Alor-Pantar		*ira	nan	- i r - a	('water (fresh)', 'abui1241-fuime', 'je')	datasets/greenbook/proto-TIM.tsv		
36	sea; sea water	p-east2519	proto-TIM	Timor-Alor-Pantar		*mata	nan	m a t a	('sea; sea water', 'maka1316', 'meti')	datasets/greenbook/proto-TIM.tsv		
43	garden	p-east2519	proto-TIM	Timor-Alor-Pantar		*(u, a)mar	nan	m a r	('garden', 'p-east2519', '*(u,_a)mar')	datasets/greenbook/proto-TIM.tsv		
45	road; path; way	p-east2519	proto-TIM	Timor-Alor-Pantar		*jiga	nan	j i g a -	('road; path; way', 'blag1240-bama', 'iga')	datasets/greenbook/proto-TIM.tsv		
63	mat	p-east2519	proto-TIM	Timor-Alor-Pantar		*biti	nan	b i t i -	('mat', 'adan1251-lawah', 'bahu')	datasets/greenbook/proto-TIM.tsv		
67	fire	p-east2519	proto-TIM	Timor-Alor-Pantar		*haTa	nan	h a T a	('fire', 'abui1241-fuime', 'ara')	datasets/greenbook/proto-TIM.tsv		
84	tree	p-east2519	proto-TIM	Timor-Alor-Pantar		*hate	nan	h a t e -	('tree', 'adan1251-lawah', 'ti')	datasets/greenbook/proto-TIM.tsv		
111	sugarcane	p-east2519	proto-TIM	Timor-Alor-Pantar		*upa	nan	#NAME?	('sugarcane', 'abui1241-fuime', 'fa')	datasets/greenbook/proto-TIM.tsv		
114	coconut	p-east2519	proto-TIM	Timor-Alor-Pantar		*wa(t, D)a	nan	w aa - - -	('coconut', 'abui1241-fuime', 'wata')	datasets/greenbook/proto-TIM.tsv		
