Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	bu'lanqul	Items marked yellow were in the old list and have been double-checked, items marked green were in the old list and have been corrected. Items marked pink have been added in May 2016. 	b u ˈl a n q u l	('sky', 'adan1251-otvai', 'buraŋ')	datasets/Teiwa-Lebang.tsv		
1	sun	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	war ge:t	nan	w a r _ g eː t	('sun', 'abui1241-fuime', 'wari')	datasets/Teiwa-Lebang.tsv		
2	moon	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	wur	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/Teiwa-Lebang.tsv		
3	star	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	jif	nan	nan	('star', 'abui1241-fuime', 'fɪri')	datasets/Teiwa-Lebang.tsv		
4	night	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	iqa'an	nan	- - - - - - i q a ˈa n -	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/Teiwa-Lebang.tsv		
5	day	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	war	nan	w a r -	('day', 'adan1251-lawah', 'wɛd_saha')	datasets/Teiwa-Lebang.tsv		
6	year	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	tun	nan	t u n - -	('year', 'abui1241-petle', 'tuŋ')	datasets/Teiwa-Lebang.tsv		
7	morning	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	bɛ:s	nan	b ɛː s	('morning', 'alor1249-sar-a', 'bes_iwaŋ')	datasets/Teiwa-Lebang.tsv		
8	yesterday	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	mi'a:g	nan	m i ˈaː g	('yesterday', 'alor1249-sar-n', 'məya:g')	datasets/Teiwa-Lebang.tsv		
9	day before yesterday	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	'gatraq	nan	- ˈg - a t r a q -	('day before yesterday', 'alor1249-sar-a', 'gataraq')	datasets/Teiwa-Lebang.tsv		
10	tomorrow	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	bas	nan	b a s - -	('tomorrow', 'alor1249-sar-a', 'bat')	datasets/Teiwa-Lebang.tsv		
11	day after tomorrow	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	ti'iraq	nan	- - t i - ˈi r - a q - - -	('day after tomorrow', 'alor1249-sar-a', 'tiraq')	datasets/Teiwa-Lebang.tsv		
12	twilight; dawn	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	'bɛsbɛs	nan	ˈb ɛ s b ɛ s	('twilight; dawn', 'dein1238', 'bes-bes')	datasets/Teiwa-Lebang.tsv		
13	cloud	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	mena:f	nan	m e n aː f - -	('cloud', 'alor1249-sar-a', 'mana:f')	datasets/Teiwa-Lebang.tsv		
14	wind	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	qi'Ɂau	rebat 'heavy wind'	q i ˈʔ a u - -	('wind', 'alor1249-sar-n', 'qayaw')	datasets/Teiwa-Lebang.tsv		
14	wind	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	rebat	rebat 'heavy wind'	- - r e b a t	('wind', 'alor1249-sar-a', 'jerak')	datasets/Teiwa-Lebang.tsv		
15	rain	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	xal	nan	x a - - l	('rain', 'alor1249-sar-a', 'ál')	datasets/Teiwa-Lebang.tsv		
16	drizzle	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	xal ki'rankiran	nan	x a l _ k i ˈr a n k i r a n	"('drizzle', 'teiw1235', ""xal_ki'rankiran"")"	datasets/Teiwa-Lebang.tsv		
17	rainbow	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	taf	nan	t a f	('rainbow', 'teiw1235', 'taf')	datasets/Teiwa-Lebang.tsv		
18	thunder	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	'idilan	nan	ˈi d i l a n	"('thunder', 'abui1241-takal', ""ä.'di_dä.mui.'dä"")"	datasets/Teiwa-Lebang.tsv		
19	lightning	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	1Pantar, 1West	kiɁ	nan	k i ʔ	"('lightning', 'alor1247-besar', ""'hila_bi'ba"")"	datasets/Teiwa-Lebang.tsv		
