Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	gunaʔ	nan	g u n a ʔ -	('sky', 'alor1249-sar-n', 'gunaʔ')	datasets/Sar-Nule.tsv		
1	sun	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	war(get)	nan	w a r - - - -	('sun', 'abui1241-fuime', 'wari')	datasets/Sar-Nule.tsv		
2	moon	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	wur	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/Sar-Nule.tsv		
3	star	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	jif	nan	j i f	('star', 'abui1241-fuime', 'fɪri')	datasets/Sar-Nule.tsv		
4	night	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	iqaʔan	nan	#NAME?	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/Sar-Nule.tsv		
5	day	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	war	nan	w a r -	('day', 'adan1251-lawah', 'wɛd saha')	datasets/Sar-Nule.tsv		
7	morning	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	bes iwaŋ	nan	b e s _ - i w a ŋ -	('morning', 'alor1249-sar-a', 'bes iwaŋ')	datasets/Sar-Nule.tsv		
8	yesterday	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	məja:g	nan	m ə j aa g -	('yesterday', 'alor1249-sar-n', 'məja:g')	datasets/Sar-Nule.tsv		
9	day before yesterday	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	gatig	nan	- g - a t - i g -	('day before yesterday', 'alor1249-sar-a', 'gataraq')	datasets/Sar-Nule.tsv		
10	tomorrow	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	bat	nan	b a t - -	('tomorrow', 'alor1249-sar-a', 'bat')	datasets/Sar-Nule.tsv		
11	day after tomorrow	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	tijaraq	nan	- - t i j a r - a q - - -	('day after tomorrow', 'alor1249-sar-a', 'tiraq')	datasets/Sar-Nule.tsv		
13	cloud	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	məna:f	nan	m ə n aa f - -	('cloud', 'alor1249-sar-a', 'mana:f')	datasets/Sar-Nule.tsv		
14	wind	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	qajaw	nan	q a j a w - -	('wind', 'alor1249-sar-n', 'qajaw')	datasets/Sar-Nule.tsv		
14	wind	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	jeribit	nan	j e r i b i t	('wind', 'alor1249-sar-a', 'ʤerak')	datasets/Sar-Nule.tsv		
15	rain	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	hal	nan	h a l -	"('rain', 'alor1249-sar-a', ""'al"")"	datasets/Sar-Nule.tsv		
17	rainbow	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	ijaf	nan	i j a f	('rainbow', 'alor1249-sar-n', 'ijaf')	datasets/Sar-Nule.tsv		
18	thunder	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	gregaj	bunyinya	g - r e g a j -	('thunder', 'alor1249-sar-a', 'gragar')	datasets/Sar-Nule.tsv		
19	lightning	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	itəmijah	kilatan, cahaya	i - - t ə m i j a h	('lightning', 'alor1249-sar-a', 'itimiʤah')	datasets/Sar-Nule.tsv		
20	earthquake	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	ito:j	nan	i t oo j	('earthquake', 'abui1241-fuime', 'taijoka')	datasets/Sar-Nule.tsv		
21	fog	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	məna:f	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	m ə n aa f	('fog', 'alor1249-sar-n', 'məna:f')	datasets/Sar-Nule.tsv		
22	river; stream	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	hawa	nan	h a w a	('river; stream', 'alor1249-sar-n', 'hawa')	datasets/Sar-Nule.tsv		
26	mountain	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	jihil	nan	j i h i l	('mountain', 'alor1249-sar-n', 'jihil')	datasets/Sar-Nule.tsv		
27	hill; ridge	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	mu:g lewa	nan	m uu g _ l e w a	('hill; ridge', 'alor1249-sar-n', 'mu:g lewa')	datasets/Sar-Nule.tsv		
28	village	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	hafan	nan	h a f a n -	('village', 'adan1251-lawah', 'baŋ ʔɛme')	datasets/Sar-Nule.tsv		
29	land; soil	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	moxoʔ	nan	m o x - o ʔ	"('land; soil', 'alor1249-sar-a', ""ma'xaʔ"")"	datasets/Sar-Nule.tsv		
30	Earth	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	por	nan	p o r	('Earth', 'alor1249-sar-a', 'por')	datasets/Sar-Nule.tsv		
31	hole	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	ʤiga	nan	j i g a	"('hole', 'alor1249-sar-a', ""ʤe'ga"")"	datasets/Sar-Nule.tsv		
32	stone	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	war	nan	w a r -	('stone', 'abui1241-fuime', 'vi')	datasets/Sar-Nule.tsv		
33	coral (rock)	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	(war) mra:g	batu (rock) di pantai	m - r aa g	"('coral (rock)', 'alor1249-sar-a', ""(war) mə'rag"")"	datasets/Sar-Nule.tsv		
34	(coral) reef	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	to'mi	karang (reef) di dasar laut	nan	"('(coral) reef', 'alor1249-sar-a', ""'tomi"")"	datasets/Sar-Nule.tsv		
35	water (fresh)	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	jir	nan	j - i r	('water (fresh)', 'abui1241-fuime', 'je')	datasets/Sar-Nule.tsv		
36	sea; sea water	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	taŋ	nan	t a ŋ -	('sea; sea water', 'abui1241-fuime', 'tama')	datasets/Sar-Nule.tsv		
37	wave	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	wa:t	nan	w aa t	('wave', 'alor1249-sar-n', 'wa:t')	datasets/Sar-Nule.tsv		
38	foam	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	(taŋ) uj	nan	u j	('foam', 'alor1249-sar-a', 'ul')	datasets/Sar-Nule.tsv		
39	forest	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	imra:g	nan	i m - r aa g	"('forest', 'alor1249-sar-a', ""mə'rag"")"	datasets/Sar-Nule.tsv		
40	field	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	maha:r	maha:r (new garden), ʔar (garden several years old)	m a h aa r	('field', 'alor1249-sar-a', 'ʔar')	datasets/Sar-Nule.tsv		
40	field	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	ʔar	maha:r (new garden), ʔar (garden several years old)	- - ʔ a r	('field', 'alor1249-sar-a', 'ʔar')	datasets/Sar-Nule.tsv		
43	garden	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	maha:r	nan	m a h aa r -	"('garden', 'alor1249-sar-a', ""ma'xar"")"	datasets/Sar-Nule.tsv		
45	road; path; way	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	jitar	nan	- j - i t a r	"('road; path; way', 'alor1247-baran', ""'tɔ:r"")"	datasets/Sar-Nule.tsv		
46	canoe	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	haj	nan	h a j	('canoe', 'alor1249-sar-a', 'haj')	datasets/Sar-Nule.tsv		
49	fishing hook	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	kawil	nan	k a w i l -	"('fishing hook', 'abui1241-takal', ""ä.ʋe̞.'lä"")"	datasets/Sar-Nule.tsv		
50	fish trap	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	kalah	dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.	k a l a h	"('fish trap', 'alor1247-pandai', ""'kɛr"")"	datasets/Sar-Nule.tsv		
51	rope	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	tar	nan	t a - r - -	('rope', 'abui1241-takal', 'tʰi.lä')	datasets/Sar-Nule.tsv		
52	machete	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	pe:d	nan	- - p ee d - -	"('machete', 'abui1241-petle', ""sa.'pa.da"")"	datasets/Sar-Nule.tsv		
53	axe	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	baliŋ	nan	nan	('axe', 'abui1241-fuime', 'faliŋ')	datasets/Sar-Nule.tsv		
54	spear	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	qab	nan	q a b - -	"('spear', 'abui1241-takal', ""kä.'fäk"")"	datasets/Sar-Nule.tsv		
55	burden stick	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	ukar	nan	nan	('burden stick', 'alor1249-sar-n', 'ukar')	datasets/Sar-Nule.tsv		
56	stick; pole	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	tuhar	nan	t u h a r	('stick; pole', 'abui1241-fuime', 'tukaraŋ')	datasets/Sar-Nule.tsv		
57	digging stick	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	der	nan	d e r	('digging stick', 'alor1249-sar-n', 'der')	datasets/Sar-Nule.tsv		
59	bow	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	wu'ta	nan	nan	"('bow', 'alor1249-sar-a', ""ʔa'mutan"")"	datasets/Sar-Nule.tsv		
60	arrow	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	qafilit	nan	nan	"('arrow', 'abui1241-takal', ""kä.'fuq"")"	datasets/Sar-Nule.tsv		
61	knife	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	siʔar	nan	s i ʔ a r	('knife', 'alor1249-sar-a', 'siar')	datasets/Sar-Nule.tsv		
62	comb	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	jimaj	nan	j i m a j -	('comb', 'alor1249-sar-n', 'jimaj')	datasets/Sar-Nule.tsv		
63	mat	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	bis	nan	b i s - -	('mat', 'adan1251-lawah', 'bahu')	datasets/Sar-Nule.tsv		
64	needle	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	bitaj	nan	b i t a j	('needle', 'adan1251-lawah', 'bátuŋ')	datasets/Sar-Nule.tsv		
67	fire	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	har or	nan	h a r _ o r	('fire', 'abui1241-fuime', 'ara')	datasets/Sar-Nule.tsv		
68	smoke	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	1Pantar, 1West	har gon	nan	h a r _ g o n	('smoke', 'alor1249-sar-n', 'har gon')	datasets/Sar-Nule.tsv		
