concept,d,Lect1,Semantic field,Lect 1,AN?,Form1,check_form1,ID1,oldID1,Lect2,Lect 2,AN?,Form2,check_form2,ID2,oldID2,Hanna,Comments Hanna,Marian,Owen,Axel,Gereon,Cognate
to_hear,0.565,alor1247-pandai,Sense perception,Alorese-Pandai,1,daŋa,daŋa,4826,9466,sika1262-tanai,Sika-Tana Ai,1,rəna,rəna,46684,27169,1,,0,1,,,0.6666666667
heart,0.568,koto1251,The body,Meto-Kotos Amarasi,1,bua+f,bua+f,21968,49244,lama1277-kalik,Lamaholot-Kalikasa,1,puˈo,puˈo,26549,22410,-1,,1,1,,,DISAGREE
to_tie,0.602,adan1251-otvai,Basic actions and technology,Adang-Otvai,0,aˈpec,aˈpec,2606,15262,lama1277-kalik,Lamaholot-Kalikasa,1,puˈd͡ʒu,puˈd͡ʒu,26888,22753,-1,,-1,-1,,,-1
angry,0.602,alor1247-pandai,Emotions and values,Alorese-Pandai,1,kˈlikil,kˈlikil,4824,9464,kaer1234,Kaera-Abangiwang,0,keˈlikil,keˈlikil,16166,19813,1,,1,1,,,1
stomach_belly,0.604,abui1241-takal,The body,Abui-Takalelang,0,tä.ˈtoːk,tä.ˈtoːk,620,13654,kaer1234,Kaera-Abangiwang,0,totoˈki,totoˈki,15962,19607,1,,1,1,,,1
rope,0.61,koto1251,Basic actions and technology,Meto-Kotos Amarasi,1,tani,tani,21882,49157,lama1277-kalik,Lamaholot-Kalikasa,1,taˈlɛr,taˈlɛr,26425,22284,1,"if *l becomes /n/ in Meto-Kotos Amarasi, then 1",1,1,,,1
five,0.611,koto1251,Quantity,Meto-Kotos Amarasi,1,nima,nima,22321,49604,lama1277-kalik,Lamaholot-Kalikasa,1,lɛm,lɛm,26928,22793,1,yes it seems to be a regular change… *l becomes /n/,1,1,,,1
old_people,0.615,koto1251,Time,Meto-Kotos Amarasi,1,mnasiʔ,mnasiʔ,22126,49408,kaer1234,Kaera-Abangiwang,0,qalam,qalam,16107,19754,-1,,-1,-1,,,-1
price,0.617,pura1258,Possession,Blagar-Pura,0,eˈbili,eˈbili,42360,11735,lama1277-kalik,Lamaholot-Kalikasa,1,veˈli,veˈli,27012,22879,0.5,,1,1,,,0.8333333333
to_speak,0.618,alor1247-besar,Speech and language,Alorese-Alor-Besar,1,tutu,tutu,3385,1204,lama1277-kalik,Lamaholot-Kalikasa,1,pətuˈtosa,pətuˈtosa,26807,22672,1,sa is a suffix for first plural inclusive,1,-1,,,DISAGREE
to_cut,0.618,kelo1247-bring,Basic actions and technology,Klon-Bring,0,gəbok,gəbok,18583,6135,sika1262-tanai,Sika-Tana Ai,1,poʔok,poʔok,46739,27224,-0.5,,-1,-1,,,-0.8333333333
fat,0.627,alor1247-besar,The body,Alorese-Alor-Besar,1,foˈrakaŋ,foˈrakaŋ,3152,971,lama1277-kalik,Lamaholot-Kalikasa,1,wod͡ʒak,wod͡ʒak,27070,33740,1,regular sound changes and final nasal in Alorese is suffix,-1,-1,,,DISAGREE
to_throw,0.634,pura1258,Motion,Blagar-Pura,0,oda,oda,42195,11569,kaer1234,Kaera-Abangiwang,0,god,god,16243,19890,1,,1,1,,,1
nose,0.634,adan1251-otvai,The body,Adang-Otvai,0,ʔaˈmiŋ,ʔaˈmiŋ,2341,14995,kaer1234,Kaera-Abangiwang,0,tiˈmim,tiˈmim,15968,19613,0.5,,1,-1,,,DISAGREE
to_blow,0.638,adan1251-otvai,Motion,Adang-Otvai,0,ˈapu,ˈapu,2573,15229,lama1277-kalik,Lamaholot-Kalikasa,1,puːr,puːr,26857,22722,0,,0,1,,,0.3333333333
year,0.642,koto1251,Time,Meto-Kotos Amarasi,1,toːn,toːn,21837,49106,lama1277-kalik,Lamaholot-Kalikasa,1,tunən,tunən,27042,33712,0.5,,1,1,,,0.8333333333
breadfruit,0.654,pura1258,Agriculture and vegetation,Blagar-Pura,0,undur,undur,41900,11270,lama1277-kalik,Lamaholot-Kalikasa,1,kuˈnʊr,kuˈnʊr,26533,22394,1,,-1,1,,,DISAGREE
door,0.656,koto1251,The house,Meto-Kotos Amarasi,1,eno,eno,21910,49185,lama1277-kalik,Lamaholot-Kalikasa,1,ˈknaver,ˈknaver,26469,22329,-1,,-1,-1,,,-1
betel_vine,0.656,koto1251,Agriculture and vegetation,Meto-Kotos Amarasi,1,manus,manus,21933,49208,lama1277-kalik,Lamaholot-Kalikasa,1,maˈlɔr,maˈlɔr,26499,22360,1,,0.5,1,,,0.8333333333
raised_platform,0.662,alor1247-besar,The house,Alorese-Alor-Besar,1,dɛki,dɛki,3104,923,adan1251-otvai,Adang-Otvai,0,ˈdeʔ,ˈdeʔ,2278,14932,1,,0,1,,,0.6666666667
sharp,0.67,alor1247-pandai,Sense perception,Alorese-Pandai,1,dəˈkɛk,dəˈkɛk,4783,9423,lama1277-kalik,Lamaholot-Kalikasa,1,rəˈkət,rəˈkət,26769,22634,1,,0,1,,,0.6666666667
heavy,0.688,alor1247-pandai,Sense perception,Alorese-Pandai,1,baː,baː,4786,9426,sika1262-tanai,Sika-Tana Ai,1,bərat,bərat,46661,27146,1,,-1,1,,,DISAGREE
chair,0.69,alor1247-pandai,The house,Alorese-Pandai,1,kˈdera,kˈdera,5061,9703,kaer1234,Kaera-Abangiwang,0,kedeˈra,kedeˈra,16350,19998,1,,1,1,,,1
near,0.691,alor1247-pandai,Spatial relations,Alorese-Pandai,1,dahɛ,dahɛ,4764,9404,lama1277-kalik,Lamaholot-Kalikasa,1,daˈek,daˈek,26750,22613,1,,1,1,,,1
milk,0.697,adan1251-otvai,Food and drink,Adang-Otvai,0,ˈsusu,ˈsusu,2321,14975,lama1277-kalik,Lamaholot-Kalikasa,1,tuˈsu,tuˈsu,26537,22398,1,,1,1,,,1
teeth,0.701,kelo1247-bring,The body,Klon-Bring,0,gəwɛh,gəwɛh,18457,6009,abui1241-takal,Abui-Takalelang,0,tä.ˈʋe̞t,tä.ˈʋe̞t,631,13665,0,,1,-1,,,DISAGREE
year,0.706,koto1251,Time,Meto-Kotos Amarasi,1,toːn,toːn,21837,49106,kaer1234,Kaera-Abangiwang,0,tuŋ,tuŋ,15827,19471,1,,1,1,,,1
horn,0.706,adan1251-otvai,The body,Adang-Otvai,0,aˈmuʔ,aˈmuʔ,2448,15104,kaer1234,Kaera-Abangiwang,0,guˈmuk,guˈmuk,16085,19731,1,,1,1,,,1
black,0.707,abui1241-takal,Sense perception,Abui-Takalelang,0,ä.ˈqän,ä.ˈqän,815,13857,kaer1234,Kaera-Abangiwang,0,xaˈno,xaˈno,16152,19799,1,,1,-1,,,DISAGREE
neck,0.715,kelo1247-bring,The body,Klon-Bring,0,dohəlɑ,dohəlɑ,18459,6011,adan1251-otvai,Adang-Otvai,0,ˈdɔrɔ,ˈdɔrɔ,2347,15001,0.5,,0,-1,,,DISAGREE
yellow,0.717,kelo1247-bring,Sense perception,Klon-Bring,0,bʊbʊgɔr,bʊbʊgɔr,18533,6085,pura1258,Blagar-Pura,0,baˈʔori,baˈʔori,42112,11486,0.5,,0.5,-1,,,DISAGREE
egg,0.727,alor1247-besar,Food and drink,Alorese-Alor-Besar,1,taˈlukuŋ,taˈlukuŋ,3295,1115,koto1251,Meto-Kotos Amarasi,1,tenoʔ,tenoʔ,22106,49388,1,,1,1,,,1
to_work,0.731,kaer1234,Basic actions and technology,Kaera-Abangiwang,0,kiriaŋ,kiriaŋ,16201,19848,lama1277-kalik,Lamaholot-Kalikasa,1,kərˈd͡ʒan,kərˈd͡ʒan,26840,22705,1,probably an old Malay loan??,1,1,,,1
scorpion,0.735,pura1258,Animals,Blagar-Pura,0,pɛl,pɛl,42043,11417,adan1251-otvai,Adang-Otvai,0,ˈpail,ˈpail,2450,15106,1,,1,1,,,1
foam,0.738,alor1247-pandai,The physical world,Alorese-Pandai,1,wuraŋ,wuraŋ,4442,9081,koto1251,Meto-Kotos Amarasi,1,ʔfuriʔ,ʔfuriʔ,21870,49142,1,,0.5,1,,,0.8333333333
leg,0.747,kelo1247-bring,The body,Klon-Bring,0,gətɑk,gətɑk,18466,6018,abui1241-takal,Abui-Takalelang,0,ne̞̞.to.ˈqu,ne̞̞.to.ˈqu,652,13686,0.5,,1,-1,,,DISAGREE
to_shoot,0.747,kelo1247-bring,Warfare and hunting,Klon-Bring,0,mɑh,mɑh,18600,6152,adan1251-otvai,Adang-Otvai,0,ˈmasaŋ,ˈmasaŋ,2629,15285,1,,1,1,,,1
to_wipe,0.75,lama1277-kalik,Basic actions and technology,Lamaholot-Kalikasa,1,sɔːk,sɔːk,26844,22709,sika1262-tanai,Sika-Tana Ai,1,bloso,bloso,46713,27198,0.5,,-1,-1,,,DISAGREE
deer,0.763,alor1247-pandai,Animals,Alorese-Pandai,1,ruha,ruha,4703,9342,koto1251,Meto-Kotos Amarasi,1,ruːs,ruːs,22087,49366,1,,1,1,,,1
crocodile,0.768,adan1251-otvai,Animals,Adang-Otvai,0,ˈbaʔai,ˈbaʔai,2440,15095,kaer1234,Kaera-Abangiwang,0,baˈgaj,baˈgaj,16076,19721,1,,1,1,,,1
arrow,0.773,abui1241-takal,Warfare and hunting,Abui-Takalelang,0,kä.ˈfuq,kä.ˈfuq,526,13559,adan1251-otvai,Adang-Otvai,0,aˈburiŋ,aˈburiŋ,2259,14913,0,,-1,-1,,,-0.6666666667
hole,0.838,alor1247-pandai,Spatial relations,Alorese-Pandai,1,waŋgɔ,waŋgɔ,4433,9072,koto1251,Meto-Kotos Amarasi,1,konaʔ,konaʔ,21864,49135,-1,,-1,-1,,,-1
poor,0.87,abui1241-takal,Possession,Abui-Takalelang,0,mäi.ˈsi.kiŋ,mäi.ˈsi.kiŋ,1055,14098,kaer1234,Kaera-Abangiwang,0,gaˈnasiŋ,gaˈnasiŋ,16395,20043,0.5,proabably Malay loan (at least in Abui for sure),-1,-1,,,DISAGREE
clean,0.873,adan1251-otvai,Sense perception,Adang-Otvai,0,ˈbolaŋ,ˈbolaŋ,2492,15148,kaer1234,Kaera-Abangiwang,0,muˈsoiŋ,muˈsoiŋ,16131,19778,-1,,-1,-1,,,-1
thread,0.91,koto1251,Clothing and grooming,Meto-Kotos Amarasi,1,abas,abas,22408,49693,kaer1234,Kaera-Abangiwang,0,qaˈpis,qaˈpis,16359,20007,1,both seem to come from kapas (Malay),-1,1,,,DISAGREE
younger_sibling,0.91,koto1251,Kinship,Meto-Kotos Amarasi,1,ori+f,ori+f,22032,49310,lama1277-kalik,Lamaholot-Kalikasa,1,wad͡ʒi,wad͡ʒi,27098,33769,1,,-1,1,,,DISAGREE
crocodile,0.913,alor1247-besar,Animals,Alorese-Alor-Besar,1,bapa,bapa,3284,1103,koto1251,Meto-Kotos Amarasi,1,naiʔbesi,naiʔbesi,22095,49376,-1,,-1,-1,,,-1
name,0.934,koto1251,Speech and language,Meto-Kotos Amarasi,1,kana+f,kana+f,22023,49301,lama1277-kalik,Lamaholot-Kalikasa,1,ˈnad͡ʒan,ˈnad͡ʒan,26606,22467,-1,,-1,1,,,DISAGREE
scorpion,0.936,pura1258,Animals,Blagar-Pura,0,pɛl,pɛl,42043,11417,koto1251,Meto-Kotos Amarasi,1,kbiti,kbiti,22105,49387,-1,,-1,-1,,,-1
fish,0.949,kelo1247-bring,Animals,Klon-Bring,0,əbi,əbi,18489,6041,kaer1234,Kaera-Abangiwang,0,ab,ab,16071,19716,0.5,,1,1,,,0.8333333333
mosquito,0.963,koto1251,Animals,Meto-Kotos Amarasi,1,basi,basi,22110,49392,kaer1234,Kaera-Abangiwang,0,kiŋ,kiŋ,16092,19738,-1,,-1,-1,,,-1
clothing,0.975,koto1251,Clothing and grooming,Meto-Kotos Amarasi,1,tais,tais,21895,49170,kaer1234,Kaera-Abangiwang,0,iˈnaqasi,iˈnaqasi,15886,19530,-1,,-1,-1,,,-1
tomorrow,1,koto1251,Time,Meto-Kotos Amarasi,1,nokaʔ,nokaʔ,21842,49111,lama1277-kalik,Lamaholot-Kalikasa,1,bamˈbe,bamˈbe,26375,22234,-1,,-1,-1,,,-1
taro,1,kelo1247-bring,Agriculture and vegetation,Klon-Bring,0,lɛː,lɛː,18436,5988,koto1251,Meto-Kotos Amarasi,1,ʔnariʔ,ʔnariʔ,21938,49213,-1,,-1,-1,,,-1
knife,,alor1247-besar,,,,duri,duri,3086,904,tetu1246,,,tuˈdik,tuˈdik,50023,23980,,,,,,0.5,0.5
foam,,adan1251-lawah,,,,wara+wara,wara+wara,1810,442,alor1247-pandai,,,wuraŋ,wuraŋ,4442,9081,,,,,,-0.5,-0.5
king_ruler,,buna1278-bobon,,,,ɛn_loi,ɛn_loi,9494,17549,alor1247-pandai,,,paha_ˈlawo,paha_ˈlawo,5099,9741,,,,,,-0.5,-0.5
sweet,,teiw1235-adiab,,,,d͡ʒigal_ub,d͡ʒigal_ub,48209,7255,alor1247-munas,,,təˈgɛ,təˈgɛ,4071,8277,,,,,,-0.5,-0.5
and,,kaer1234,,,,etaŋ,etaŋ,16031,19676,alor1247-pandai,,,naŋ,naŋ,4654,9293,,,,,,-0.5,-0.5
lazy,,adan1251-otvai,,,,laˈhun,laˈhun,2472,15128,alor1247-munas,,,pˈlihaŋ,pˈlihaŋ,4028,8234,,,,,,-0.5,-0.5
to_call_out,,abui1241-fuime,,,,ir,ir,324,12711,alor1247-munas,,,gˈpar,gˈpar,4225,8431,,,,,,-0.5,-0.5
to_call_out,,alor1247-besar,,,,boaŋ,boaŋ,3491,1310,teiw1235,,,,puan,47786,10736,,,,,,-0.5,-0.5
old_people,,kelo1247-hopte,,,,kul_ˈbiːn,kul_ˈbiːn,18898,21884,kelo1247-bring,,,kulwɪn,kulwɪn,18505,6057,,,,,,0.5,0.5
round,,alor1247-munas,,,,pɔlik,pɔlik,4049,8255,buna1278-suai,,,bolugɔl,bolugɔl,10175,17955,,,,,,-0.5,-0.5
1sg,,tetu1245-suai,,,,haʔu,haʔu,48986,27468,buna1278-malia,,,nɛtɔ,nɛtɔ,9656,4039,,,,,,-0.5,-0.5
3pl,,sika1262-tanai,,,,rimu,rimu,46597,27082,abui1241-ulaga,,,gedi,gedi,1338,14387,,,,,,-0.5,-0.5
all,,alor1247-munas,,,,səˈkali,səˈkali,3969,8174,bima1247,,,,samena,6287,39877,,,,,,-0.5,-0.5
