Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'buluŋ	nan	nan	nan	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
1.0	sun	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wɛr	nan	nan	1	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
2.0	moon	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ur	nan	nan	1	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
3.0	star	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	iplaqx	slight fricative sound following the uvular stop	nan	1	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
4.0	night	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'iqano	nan	nan	1	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
5.0	day	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wɛr	nan	nan	1	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
6.0	year	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tuŋ	nan	nan	nan	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
7.0	morning	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qa'naŋ	nan	nan	2	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
8.0	yesterday	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	mi'a:g	nan	nan	1	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
9.0	day before yesterday	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gɛtraxo	nan	nan	1	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
10.0	tomorrow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	u'ruŋ	nan	nan	4	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
11.0	day after tomorrow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'tɛraxo	nan	nan	[12]	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
12.0	twilight; dawn	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qa'naŋ-qa'naŋ	nan	nan	nan	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
13.0	cloud	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bə'na:b	nan	nan	1	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
14.0	wind	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qɛu	nan	nan	5	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
15.0	rain	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	aj	nan	nan	2	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
16.0	drizzle	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	aj ki'ri-kiri	nan	nan	[62]	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
17.0	rainbow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'souk	nan	nan	6	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
18.0	thunder	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	idu'guruŋ	nan	nan	4	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
19.0	lightning	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'ki: ba	nan	nan	5	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
