Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	βula βutu	nan	β u l a _ β u t u	('moon', 'adan1251-lawah', 'hu:l')	datasets/Sika-Tana Ai.tsv		
1	sun	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	ləro	nan	l ə r o - - - - - -	"('day', 'alor1247-besar', ""la'ra"")"	datasets/Sika-Tana Ai.tsv		
2	moon	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	βula-ŋ	nan	β u l a ŋ - ( - - - - - - - - )	('moon', 'adan1251-lawah', 'hu:l')	datasets/Sika-Tana Ai.tsv		
3	star	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	dala	nan	d a - - - l a -	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/Sika-Tana Ai.tsv		
4	night	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	guma-ŋ	nan	g u m - - a ŋ -	('night', 'sika1262-hewa', 'guman')	datasets/Sika-Tana Ai.tsv		
4	night	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	ʔβau-ŋ	nan	ʔ β a u ŋ	('night', 'keda1252', 'uben')	datasets/Sika-Tana Ai.tsv		
5	day	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	ləro-ŋ	nan	l ə r - o ŋ	"('day', 'alor1247-besar', ""la'ra"")"	datasets/Sika-Tana Ai.tsv		
6	year	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	ʔliβa-ŋ	nan	nan	('year', 'sika1262-hewa', 'liwan')	datasets/Sika-Tana Ai.tsv		
14	wind	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	ani-n	nan	- a n i n - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/Sika-Tana Ai.tsv		
15	rain	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	ura-n	nan	- u r a n	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/Sika-Tana Ai.tsv		
21	fog	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	koβa	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	k o β a -	"('fog', 'alor1247-munas', ""sə'pu"")"	datasets/Sika-Tana Ai.tsv		
21	fog	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	səbu sak	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	s ə b - u _ s a k -	"('fog', 'alor1247-munas', ""sə'pu"")"	datasets/Sika-Tana Ai.tsv		
21	fog	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	səbur	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	s ə b u r -	"('fog', 'alor1247-munas', ""sə'pu"")"	datasets/Sika-Tana Ai.tsv		
