Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
1	sun	p-timo1261	proto-TAP	Timor-Alor-Pantar		*wad(i, u)	nan	w a d - - - -	('sun', 'abui1241-fuime', 'wari')	datasets/greenbook/proto-TAP.tsv		
2	moon	p-timo1261	proto-TAP	Timor-Alor-Pantar		*hur(u)	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/greenbook/proto-TAP.tsv		
3	star	p-timo1261	proto-TAP	Timor-Alor-Pantar		*jib(V)	nan	j i b -	('star', 'abui1241-fuime', 'fɪri')	datasets/greenbook/proto-TAP.tsv		
3	star	p-timo1261	proto-TAP	Timor-Alor-Pantar		*jibV	nan	j i b V	('star', 'abui1241-fuime', 'fɪri')	datasets/greenbook/proto-TAP.tsv		
15	rain	p-timo1261	proto-TAP	Timor-Alor-Pantar		*anu(r, R)	nan	- a n u - -	('rain', 'abui1241-fuime', 'anui')	datasets/greenbook/proto-TAP.tsv		
26	mountain	p-timo1261	proto-TAP	Timor-Alor-Pantar		*buku	nan	b u k u	('mountain', 'abui1241-fuime', 'buku')	datasets/greenbook/proto-TAP.tsv		
32	stone	p-timo1261	proto-TAP	Timor-Alor-Pantar		*war	nan	w a r -	('stone', 'abui1241-fuime', 'vi')	datasets/greenbook/proto-TAP.tsv		
35	water (fresh)	p-timo1261	proto-TAP	Timor-Alor-Pantar		*jira	nan	- j i r a	('water (fresh)', 'abui1241-fuime', 'je')	datasets/greenbook/proto-TAP.tsv		
36	sea; sea water	p-timo1261	proto-TAP	Timor-Alor-Pantar		*tam(a)	salt (water)'; also means 'sea'	t a m - - - - - -	"('sea; sea water', 'alor1247-besar', ""'tahi"")"	datasets/greenbook/proto-TAP.tsv		
43	garden	p-timo1261	proto-TAP	Timor-Alor-Pantar		*magad	nan	m a g a d -	"('garden', 'alor1249-sar-a', ""ma'xar"")"	datasets/greenbook/proto-TAP.tsv		
