language	lang_id	gloss	transcription	translation	comment
Kalikasa	kali1300	1. Tangan	limaga	hand	
Kalikasa	kali1300	2. Kiri	seke	left	
Kalikasa	kali1300	3. Kanan	wana	right	
Kalikasa	kali1300	4. Kaki	liga	foot	
Kalikasa	kali1300	5. Kaki	l. əpak	footprint	
Kalikasa	kali1300	6. Berjalan	pana	walk	
Kalikasa	kali1300	7. Jalan	lalan	road	
Kalikasa	kali1300	8. Datang	oli	come	
Kalikasa	kali1300	9. Balik	tue	return	
Kalikasa	kali1300	10. Berenang	naŋe	swim	
Kalikasa	kali1300	11. Mencuci	basa	wash	
Kalikasa	kali1300	12. Hapus	soka	wipe	
Kalikasa	kali1300	13. Gosok	doru	rub	
Kalikasa	kali1300	14. Kotor	milan	dirty	
Kalikasa	kali1300	15. Debu	əmut	dust	
Kalikasa	kali1300	16. Kulit	kudan	skin	
Kalikasa	kali1300	17. Punggung	kənarun	back	
Kalikasa	kali1300	18. Perut	tai	belly	
Kalikasa	kali1300	19. Tulang	riuk	bone	
Kalikasa	kali1300	20. Isi perut	tai kəbotin	stomach	
Kalikasa	kali1300	21. Hati	oren	liver	
Kalikasa	kali1300	22. Jantung	puo	heart	
Kalikasa	kali1300	23. Tahu	ketən	know	
Kalikasa	kali1300	24. Pikir	petən	think	
Kalikasa	kali1300	25. Takut	takut	scared	
Kalikasa	kali1300	26. Darah	səmei	blood	
Kalikasa	kali1300	27. Kepala	ulun	head	
Kalikasa	kali1300	28. Leher	wulen	neck	
Kalikasa	kali1300	29. Rambut	latar	hair	
Kalikasa	kali1300	30. Hidung	nijuga	nose	
Kalikasa	kali1300	31. Bernapas	esa nain	breathe	
Kalikasa	kali1300	32. Membaui	sodam	smell	
Kalikasa	kali1300	33. Mulut	nusən	mouth	
Kalikasa	kali1300	34. Gigi	pai	tooth	
Kalikasa	kali1300	35. Lidah	ewel	tongue	
Kalikasa	kali1300	36. Tertawa	gekaj	laugh	
Kalikasa	kali1300	37. Menangis	əraw	cry	
Kalikasa	kali1300	38. Muntah	luaŋ	vomit	
Kalikasa	kali1300	39. Meludah	təmiju	spit	
Kalikasa	kali1300	40. Makan	ka	eat	ka, ga: different inflections
Kalikasa	kali1300	41. Masak	loluŋ	cook	
Kalikasa	kali1300	42. Minum	menu	drink	
Kalikasa	kali1300	43. Gigit	giki	bite	
Kalikasa	kali1300	44. Menetek	tusu	suck	
Kalikasa	kali1300	45. Telinga	kiŋan	ear	
Kalikasa	kali1300	46. Dengar	daŋar	listen	
Kalikasa	kali1300	47. Mata	matan	eye	
Kalikasa	kali1300	48. Melihat	du	see	
Kalikasa	kali1300	49. Tidur	gəle	sleep	
Kalikasa	kali1300	50. Rebah	pawan	lie down	
Kalikasa	kali1300	51. Duduk	tobe	sit	
Kalikasa	kali1300	52. Berdiri	diri	stand	
Kalikasa	kali1300	53. Orang	atadikən	person	
Kalikasa	kali1300	54. Laki-laki	lamen	man	
Kalikasa	kali1300	55. Wanita	binen	woman	
Kalikasa	kali1300	56. Anak	kopoŋ	child	
