Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	gun:aŋ	nan	g u nn a ŋ	"('sky', 'alor1249-sar-n', 'gunaʔ')"	datasets/westernpantar.tsv		
1	sun	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	marari	nan	m a r a r i	"('sun', 'lamm1241-westp', 'marari')"	datasets/westernpantar.tsv		
1	sun	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	was	nan	- w a - - - s - - - -	"('sun', 'abui1241-fuime', 'wari')"	datasets/westernpantar.tsv		
2	moon	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	guraŋ	archaic.	g u r a ŋ	"('moon', 'lamm1241-westp', 'guraŋ')"	datasets/westernpantar.tsv		
2	moon	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	hi	nan	h i	"('moon', 'lamm1241-westp', 'hi')"	datasets/westernpantar.tsv		
3	star	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	hib:i	nan	h i bb i	"('star', 'abui1241-fuime', 'fɪri')"	datasets/westernpantar.tsv		
3	star	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	tamariŋ	nan	- - - - t a - m a r i ŋ	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/westernpantar.tsv		
4	night	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	ir pat:a	nan	i r - _ p a tt - - a	"('night', 'kema1243', ""'rɑe meta'ma:"")"	datasets/westernpantar.tsv		
5	day	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	ana	nan	a n a	"('day', 'lamm1241-westp', 'ana')"	datasets/westernpantar.tsv		
5	day	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	was	nan	w a s - - - - - -	"('day', 'adan1251-lawah', 'wɛd saha')"	datasets/westernpantar.tsv		
6	year	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	tun:u	nan	- t u - nn u - - -	"('year', 'abui1241-petle', 'tuŋ')"	datasets/westernpantar.tsv		
8	yesterday	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	wad:ipaŋ	nan	w a dd i p a ŋ	"('yesterday', 'lamm1241-westp', 'waddipaŋ')"	datasets/westernpantar.tsv		
9	day before yesterday	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	jenarpaŋ	nan	ye n a r p a ŋ	"('day before yesterday', 'lamm1241-westp', 'yenarpaŋ')"	datasets/westernpantar.tsv		
10	tomorrow	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	dal:a	nan	- - d a ll a - -	"('tomorrow', 'adan1251-lawah', 'dilɛlɛ')"	datasets/westernpantar.tsv		
11	day after tomorrow	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	tialaku	nan	t ia l a k u	"('day after tomorrow', 'lamm1241-westp', 'tialaku')"	datasets/westernpantar.tsv		
12	twilight; dawn	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	mabu	nan	m a b u	"('twilight; dawn', 'alor1247-pandai', ""'subu"")"	datasets/westernpantar.tsv		
13	cloud	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	un:as	nan	- u nn a s	"('cloud', 'baka1276', 'bənaw')"	datasets/westernpantar.tsv		
14	wind	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	dagéŋ	nan	d a g é ŋ	"('wind', 'lamm1241-westp', 'dagéŋ')"	datasets/westernpantar.tsv		
14	wind	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	ribus	soraŋ 'wind' only appears in the Mauta dialect	- - r i b u s	"('wind', 'lamm1241-westp', 'ribus')"	datasets/westernpantar.tsv		
14	wind	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	soraŋ	soraŋ 'wind' only appears in the Mauta dialect	s o r - - a ŋ	"('wind', 'lamm1241-westp', 'ribus')"	datasets/westernpantar.tsv		
15	rain	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	hajá	nan	h ayá	"('rain', 'lamm1241-westp', 'hayá')"	datasets/westernpantar.tsv		
16	drizzle	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	haja rujaŋ	nan	h aya _ r uya ŋ	"('drizzle', 'lamm1241-westp', 'haya ruyaŋ')"	datasets/westernpantar.tsv		
17	rainbow	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	wali pak:uŋ	nan	w a l i _ p a - - kk u ŋ	"('rainbow', 'kira1248', 'balei ganosin')"	datasets/westernpantar.tsv		
18	thunder	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	di	nan	- - - - d i - -	"('thunder', 'blag1240-warsa', 'ildumu')"	datasets/westernpantar.tsv		
19	lightning	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	balolaŋ	nan	- - - - - b a l - o l a - - ŋ -	"('lightning', 'abui1241-fuime', 'falielai')"	datasets/westernpantar.tsv		
19	lightning	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	miʔar	nan	m i 'a r	"('lightning', 'lamm1241-westp', ""mi'ar"")"	datasets/westernpantar.tsv		
20	earthquake	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	taŋ ab:aŋ	nan	- t a ŋ - _ a - bb a ŋ	"('earthquake', 'alor1247-besar', ""'tana 'ɔdʒaŋ"")"	datasets/westernpantar.tsv		
21	fog	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	bun:e	nan	- b u nn - - - - - - - e	"('fog', 'baka1276', 'bənaw koko')"	datasets/westernpantar.tsv		
22	river; stream	lamm1241-westp	Western Pantar	Timor-Alor-Pantar	"1Pantar, 1West"	halia salili	nan	h a l ia _ s a l i l i	"('river; stream', 'lamm1241-westp', 'halia salili')"	datasets/westernpantar.tsv		
